Provincie,Paalnr Gemeente Locatie,Snelheid
Noord-Holland,3979 Amsterdam S107 Plesmanlaan thv fietsoversteek Christoffel Plantijnpad,112
Noord-Holland,3985 Amsterdam S105 Burgemeester Röellstraat thv afslag Burgemeester Cramergracht,406
Noord-Holland,4311 Amsterdam Weesperstraat thv kruising Nieuwe Achtergracht,2171
Noord-Holland,4317 Amsterdam S118 Molenaarsweg thv kruising Oostzanerdijk,5811
Noord-Holland,4637 Amsterdam Meibergdreef thv afslag Paasheuvelweg,7543
Noord-Holland,3972 Bloemendaal N208 Rijksstraatweg thv huisnummer 89,303
Noord-Holland,3975 Alkmaar Vondelstraat thv lichtmast 12,235
Noord-Holland,3977 Haarlem Rijksstraatweg thv huisnummer 378C,434
Noord-Holland,3980 Alkmaar N242 Provincialeweg thv hmp 41.5,5333
Noord-Holland,3981 Haarlem N200 Oudeweg kruising Nijverheidsweg,414
Noord-Holland,3990 Hoorn Provinciale Weg thv spoorwegovergang,478
Noord-Holland,4326 Purmerend A7 thv Purmerend,4771
Noord-Holland,4619 Zaanstad Poelenburg thv Lichtmast 062-05751,1608
Noord-Holland,4627 Zaanstad Doctor H.G. Scholtenstraat thv bushalte,252
Noord-Holland,4632 Zaanstad De Weer t.h.v. huisnummer 61,2221
Drenthe,4307 Hoogeveen Industrieweg thv huisnummer 45,1441
Drenthe,4308 Assen Groningerstraat thv huisnummer 300,105
Drenthe,4310 Tynaarlo Asserstraat thv huisnummer 11,806
Drenthe,4617 Tynaarlo Hogeweg thv huisnummer 13B,1713
Drenthe,4626 Tynaarlo Burg. J.G. Legroweg thv huisnummer 29,1017
Drenthe,4631 Emmen Vaart Noordzijde t.h.v. huisnummer 138,1103
Flevoland,4603 Dronten N309 Dronterweg thv kruising Lisdoddeweg,1989
Flevoland,4604 Noordoostpolder N352 Zuiderringweg thv kr Neushoornweg,1915
Flevoland,4611 Noordoostpolder N352 Schokkerringweg thv afslag Middelbuurt,334
Flevoland,4612 Almere N701 Oostvaardersdijk thv Gemaal De Blocq van Kuffeler,721
Flevoland,4615 Lelystad Larserdreef thv kruising Delfland,322
Flevoland,4616 Noordoostpolder N331 Vollenhoverweg thv hmp 29.8,1000
Friesland,4315 Achtkarspelen N355 thv kruising Friesestraatweg,730
Friesland,4318 Waadhoeke N398 Middelseewei thv Hogerhuisdyk,1420
Gelderland,4309 Voorst A1 thv hmp 94.7 richting Apeldoorn,20850
Gelderland,4321 Voorst A1 thv hmp 90.1 richting Apeldoorn,10264
Gelderland,4636 Zaltbommel N322 Van Heemstraweg thv hmp 23.0,3718
Groningen,4600 Westerkwartier N388 Woldweg thv Zandumerklap,1275
Groningen,4609 Midden-Groningen N386 Woldweg thv huisnummer 145A,426
Limburg,3974 Landgraaf Kleikoeleweg thv perceel 76,142
Limburg,3989 Maasgouw N273 thv hmp 45.7,181
Limburg,4607 Roermond Venloseweg thv huisnummer 37,345
Limburg,4608 Heerlen Schelsberg thv huisnummer 97,933
Limburg,4613 Venlo Venloseweg thv huisnummer 49,1318
Limburg,4620 Stein Steinderweg thv huisnummer 35,323
Noord-Brabant,3984 's-Hertogenbosch Sint Teunislaan thv perceel 60,167
Noord-Brabant,3988 Bergen op Zoom Randweg West thv kruising Halsterseweg,88
Noord-Brabant,4300 Tilburg Ringbaan Zuid thv huisnummer 301,1513
Noord-Brabant,4302 's-Hertogenbosch Rompertsebaan thv lichtmast 17,162
Noord-Brabant,4304 Tilburg N261 Burgemeester Bechtweg thv hmp 6.0,2621
Noord-Brabant,4314 Breda Tramsingel thv huisnummer 27,2282
Noord-Brabant,4323 Roosendaal Burgemeester Schneiderlaan nabij kruising Bovendonk,2827
Noord-Brabant,4602 Breda Julianalaan thv huisnummers 79-81,616
Noord-Brabant,4605 Meierijstad N637 Rooiseweg thv huisnummer 17,212
Noord-Brabant,4606 Eindhoven Geldropseweg thv lichtmast 262,11630
Noord-Brabant,4621 Oosterhout Beneluxweg thv huisnummer 85,2712
Noord-Brabant,4624 Maashorst Rondweg thv huisnummer 5,3116
Noord-Brabant,4625 Bladel N284 Rondweg thv huisnummer 12,1547
Noord-Brabant,4628 Someren N612 Stipdonk thv hmp 82.8,741
Noord-Brabant,4638 Drimmelen Crullaan thv Patrijsflat,1127
Overijssel,	4640 Enschede Broekheurnerrondweg thv huisnummer 47,986
Utrecht,3987 Soest Dalweg thv afslag Albert Cuyplaan,39
Utrecht,4301 Utrecht Stadsbaan Leidsche Rijn t.h.v. lichtmast 74,609
Utrecht,4305 Utrecht Vleutensebaan thv lichtmast 69,1018
Utrecht,4322 De Bilt Soestdijkseweg Noord nabij kruising van Ostadelaan,370
Utrecht,4635 Woerden Utrechtsestraatweg thv huisnr 98,3765
Zeeland,4610 Hulst N290 Gentsevaart thv huisnummer 43,2797
Zeeland,4634 Veere Hondegemsweg thv huisnr 31,3101
Zuid-Holland,3983 Rotterdam S114 Westzeedijk thv 2e IJzerstraat,1544
Zuid-Holland,4303 Vlaardingen Holysingel t.h.v. lichtmast 116,534
