SYSTEEM,JAAR_MAAND,PROVINCIENAAM,PLEEGGEMEENTE,PAALGEGEVENS,OMSCHRIJVING_FEITGROEP,INSTROOM,FLEX
WAHV ,2024 01,Drenthe,Assen,3607 Assen vaart zuidzijde thv kazerne,Snelheid,367
WAHV ,2024 01,Drenthe,Borger-Odoorn,3610 Borger-Odoorn n857 rolderstraat thv hmp 9.2,Snelheid,522
WAHV ,2024 01,Drenthe,Emmen,3608 Emmen kanaal a noordzijde thv kruising bies,Snelheid,251
WAHV ,2024 01,Drenthe,Emmen,3609 Emmen kanaal a noordzijde thv perceel 205,Snelheid,218
WAHV ,2024 01,Drenthe,Emmen,4631 Emmen vaart noordzijde t.h.v. huisnummer 138,Snelheid,1019,True
WAHV ,2024 01,Drenthe,Noordenveld,3557 Noordenveld n372 roderweg kruising bunnerveenseweg,Snelheid,240
WAHV ,2024 01,Drenthe,Noordenveld,3557 Noordenveld n372 roderweg kruising bunnerveenseweg,Verkeerslicht,17
WAHV ,2024 01,Drenthe,Noordenveld,3558 Noordenveld n372 westerweg kruising roderweg,Snelheid,41
WAHV ,2024 01,Drenthe,Noordenveld,3558 Noordenveld n372 westerweg kruising roderweg,Verkeerslicht,2
WAHV ,2024 01,Drenthe,Noordenveld,3808 Noordenveld n372 roderweg kruising roderwolderweg,Verkeerslicht,16
WAHV ,2024 01,Drenthe,Noordenveld,3809 Noordenveld n372 noordholt kruising oosteinde,Snelheid,2
WAHV ,2024 01,Drenthe,Noordenveld,3809 Noordenveld n372 noordholt kruising oosteinde,Verkeerslicht,5
WAHV ,2024 01,Drenthe,Noordenveld,3907 Noordenveld n372 groningerweg kruising busbaan thv hmp 1.5,Snelheid,16
WAHV ,2024 01,Drenthe,Noordenveld,3907 Noordenveld n372 groningerweg kruising busbaan thv hmp 1.5,Verkeerslicht,6
WAHV ,2024 01,Drenthe,Tynaarlo,4310 Tynaarlo asserstraat thv huisnummer 11,Snelheid,716,True
WAHV ,2024 01,Flevoland,Almere,3038 Almere s103 veluwedreef kruising hagevoortdreef,Snelheid,197
WAHV ,2024 01,Flevoland,Almere,3038 Almere s103 veluwedreef kruising hagevoortdreef,Verkeerslicht,7
WAHV ,2024 01,Flevoland,Almere,3059 Almere s103 veluwedreef kruising bunuellaan,Snelheid,57
WAHV ,2024 01,Flevoland,Almere,3059 Almere s103 veluwedreef kruising bunuellaan,Verkeerslicht,7
WAHV ,2024 01,Flevoland,Almere,3060 Almere s103 veluwedreef kruising hitchcocklaan,Snelheid,261
