Locatie trajectcontrole,Overtredingen T2 2024,Overtredingen T2 2023
A2 Amsterdam – Utrecht (beide richtingen),166460,203152.0
A2 Maastricht (beide richtingen),15100,17519.0
A4 Hoofddorp-Nieuw Vennep,72639,80500.9
A4 bij Leidschendam (beide richtingen),52126,64673.0
A10 bij Amsterdam ring west (beide richtingen),43066,50744.0
A12 Den Haag –Voorburg (beide richtingen),11053,18308.0
A12 Utrecht,61646,59305.0
A13 bij Rotterdam (beide richtingen),17484,20180.0
A20 bij Rotterdam (beide richtingen),43316,43539.0
A58 Bergen op Zoom – Roosendaal (beide richtingen),1,45014.0
Westerscheldetunnel,5611,5604.0
N230 Lageweide – Overvecht (beide richtingen),7008,8060.0
N351 Oldeberkoop – Nijeholtpade (beide richtingen),1658,1824.0
N381 Drachten – Donkerbroek (beide richtingen),16130,17829.0
N414 Eembrugge – Bunschoten (beide richtingen),727,1158.0
N706 Almere Hout - N302 (beide richtingen),5070,5876.0
N201 Legmeerdijk – Zijdelweg (beide richtingen),11059,8661.0
N205 Schipholweg – Kruisweg (beide richtingen),2642,4244.0
N333 Blokzijl – Steenwijk (beide richtingen),3560,4102.0
N787 Eerbeek – Brummen (beide richtingen),809,721.0
N9 Burgervlotbrug - St Maartensvlotbrug (beide richtingen),1490,3896.0
N11 Leiden - Alphen aan den Rijn (beide richtingen),14845,16406.0
N275 Koningslust – Nederweert (beide richtingen),1657,1663.0
N564 Kazerneweg – Havenweg (beide richtingen),1949,2504.0
N277 Vredepeel – Ysselsteyn (beide richtingen),2114,2589.0
N270 Ysselsteyn – Venray (beide richtingen),2065,722.0
N253 St Anna ter Muiden – Heileweg (beide richtingen),3736,3335.0
N260 Rugdijk – Stokhasseltlaan (beide richtingen),7548,8733.0
N256 Colijnsplaat – Zierikzee (beide richtingen),4283,3634.0
N639 Baarle-Nassau – Chaam (beide richtingen),1231,1051.0
N325 Westervoortsedijk – Huissen (beide richtingen),20926,23153.0
Totaal,599009,728708.0
